original,ocr,visionOcr,Tessaract%,Vision%
"කෙසේවුවත්, මෙම සියලු අන්තර් ක්‍රියා, විශේෂයෙන්, විදේශ ප්‍රතිපත්ති පිළිබඳ දෘෂ්ටිකෝණයෙන් සලකා
බැලීම අවශ්‍ය වන්නා වූ ගිවිසුම්/ අවබෝධතා ගිවිසුම්වලට අදාළ කරුණු පිළිබඳ විදේශ
කටයුතු අමාත්‍යාංශය දැනුවත් කළ යුතු වේ:
(අ) මුදල් අමාත්‍යාංශය විසින් දේශපාලනික/ මූලෝපායික බලපෑමක් සහිත ප්‍රධාන
ප්‍රතිපත්තිමය ගැටලු විදේශ කටයුතු අමාත්‍යාංශය විමසා සිදු කළ යුතු බවට වන පදනම මත පහත කරුණු සම්බන්ධයෙන් අදාළ විදෙස් රජයන්/ ජාත්‍යන්තර සංවිධාන සමඟ ඍජුව සම්බන්ධ විය හැකිය:
ලෝක බැංකුව, ජාත්‍යන්තර මූල්‍ය අරමුදල, අන්තර්ජාතික සංවර්ධන සංගමය,
ආසියානු සංවර්ධන බැංකුව, අප්‍රිකානු සංවර්ධන බැංකු සමූහය ආදි බහුපාර්ශ්වීය/
ප්‍රාදේශීය මූල්‍ය ආයතනවලින් ණය පහසුකම් ලබා ගැනීමට සාකච්ඡා පැවැත්වීම;

අසල්වැසි රටවල් සඳහා සහාය ලබා දීම වෙනුවෙන් වූ යෝජනා සම්බන්ධයෙන්
හැර ණය සහ ප්‍රදාන ආකාරයෙන් ද්විපාර්ශ්වීය සහයෝගිතා සහාය ලබා දීම;
අනෙකුත් රටවල් සඳහා සහයෝගිතා සහාය ලබා දීමේ මූලික ක්‍රියාවලිය ද විදේශ
කටයුතු අමාත්‍යාංශය විසින් හෝ එම අමාත්‍යාංශය විමසා සිදු කළ යුතු ය;

විදේශ වානිජ ණය ගැනීම්/ විදේශ ණය සම්බන්ධ කරුණු;

දේශපාලනික අරමුණු නොමැතිව විදේශ මූල්‍ය බෙදී යාම පිළිබඳ හුදු ආර්ථික
ගැටලු; සහ

විදේශ විනිමය සම්පත් කළමනාකරණය

මෙම තාක්‍ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන් විදේශ කටයුතු
අමාත්‍යාංශය නිරන්තරයෙන් දැනුවත් කළ යුතු ය.","කෙසේවුවන්‌,
මෙම සියලු අන්තර්‌ ක්‍රියා, විශේෂයෙන්‌, විදේශ ප්‍රතිපත්ති පිළිබඳ දෘෂ්ටිකෝණයෙන්‌ සලකා
බැලීම අවශ්‍ය වන්නා වූ ගිවිසුම්‌/ අවබෝධතා ගිවිසුම්වලට අදාළ කරුණු පිළිබඳ විදේශ
කටයුතු අමාත්‍යාංශය දැනුවත්‌ කළ යුතු වේ:

(අ) මුදල්‌ අමාත්‍යාංශය විසින්‌ දේශපාලනික/ මූලෝපායික බලපෑමක්‌ සහිත ප්‍රධාන
 ප්‍රතිපක්කිමය ගැටලු විදේශ කටයුතු අමාත්‍යාංශය විමසා සිදු කළ යුතු බවට වන පදනම්‌
'මත පහත කරුණු සම්බන්ධයෙන්‌ අදාළ විදෙස්‌ රජයන්‌/ ජාත්‍යන්තර සංවිධාන සමහ
සෘජුව සම්බන්ධ විය හැකිය:

- ලෝක බැංකුව, ජාත්‍යන්තර මූල්‍ය අරමුදල, අන්තර්ජාතික සංවර්ධන සංගමය,
ආසියානු සංවර්ධන බැංකුව, අප්‍රිකෘනු සංවර්ධන බැංකු සමූහය ආදි බනුපාර්ශ්වීය/
ප්‍රාදේශීය මූල්‍ය ආයතනවලින්‌ ණය පහසුකම්‌ ලබා ගැනීමට සකච්ඡා පැවැත්වීම;

- අසල්වැසි රටවල්‌ සඳහා සභාය ලබා දීම වෙනුවෙන්‌ වූ යෝජනා සම්බන්ධයෙන්‌
හැර ණය සහ ප්‍රදාන ආකාරයෙන්‌ ද්විපාර්ශ්වීය සහයෝගිතා සහාය ලබා දීම;
අනෙකුත්‌ රටවල්‌ සඳහා සහයෝගිතා සභාය ලබා දීමේ මූලික ක්‍රියාවලිය ද විදේශ
කටයුතු අමාත්‍යාංශය විසින්‌ හෝ එම අමාත්‍යාංශය විමසා සිදු කළ යුතු ය;

“~ විදේශ චානිජ ණය ගැනීම්‌/ විදේශ ණය සම්බන්ධ කරුණු;

- දේශපාලනික අරමුණු නොමැතිව විදේශ இடு බෙදී යාම පිළිබඳ හුදු ආර්ථික
ගැටලු; සහ

- විදේශ විනිමය සම්පත්‌ කළමනාකරණය

- මෙම තාක්ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන්‌ විදේශ කටයුතු
අමාත්‍යාංශය නිරන්තරයෙන්‌ දැනුවන්‌ කළ යුතු ය.","කෙසේවුවත්,
මෙම සියලු අන්තර් ක්‍රියා, විශේෂයෙන්, විදේශ ප්‍රතිපත්ති පිළිබඳ දෘෂ්ටිකෝණයෙන් සලකා
බැලීම අවශ්‍ය වන්නා වූ ගිවිසුම්/ අවබෝධතා ගිවිසුම්වලට අදාළ කරුණු පිළිබඳ විදේශ
කටයුතු අමාත්‍යාංශය දැනුවත් කළ යුතු වේ:
(අ) මුදල් අමාත්‍යාංශය විසින් දේශපාලනික මූලෝපායික බලපෑමක් සහිත ප්‍රධාන
ප්‍රතිපත්තිමය ගැටලු විදේශ කටයුතු අමාත්‍යාංශය විමසා සිදු කළ යුතු බවට වන පදනම
මත පහත කරුණු සම්බන්ධයෙන් අදාළ විදෙස් රජයන්/ ජාත්‍යන්තර සංවිධාන සමඟ
ඍජුව සම්බන්ධ විය හැකිය:
ලෝක බැංකුව, ජාත්‍යන්තර මූල්‍ය අරමුදල, අන්තර්ජාතික සංවර්ධන සංගමය,
ආසියානු සංවර්ධන බැංකුව, අප්‍රිකානු සංවර්ධන බැංකු සමූහය ආදි බහුපාර්ශ්වීය
ප්‍රාදේශීය මූල්‍ය ආයතන වලින් ණය පහසුකම් ලබා ගැනීමට සාකච්ඡා පැවැත්වීම;
අසල්වැසි රටවල් සඳහා සහාය ලබා දීම වෙනුවෙන් වූ යෝජනා සම්බන්ධයෙන්
හැර ණය සහ ප්‍රදාන ආකාරයෙන් ද්විපාර්ශ්වීය සහයෝගිතා සහාය ලබා දීම;
අනෙකුත් රටවල් සඳහා සහයෝගිතා සහාය ලබා දීමේ මූලික ක්‍රියාවලිය ද විදේශ
කටයුතු අමාත්‍යාංශය විසින් හෝ එම අමාත්‍යාංශය විමසා සිදු කළ යුතු ය;
විදේශ වානිජ ණය ගැනීම් විදේශ ණය සම්බන්ධ කරුණු;
දේශපාලනික අරමුණු නොමැතිව විදේශ මූල්‍ය බෙදී යාම පිළිබඳ හුදු ආර්ථික
ගැටලු; සහ
විදේශ විනිමය සම්පත් කළමනාකරණය
මෙම තාක්ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන් විදේශ කටයුතු
අමාත්‍යාංශය නිරන්තරයෙන් දැනුවත් කළ යුතු ය.",89.4,84.6
"(ආ) ආරක්‍ෂක අමාත්‍යාංශයට, විදේශ කටයුතු අමාත්‍යාංශයේ එකඟතාව ඇතිව
 ප්‍රධාන/ප්‍රමුඛ ගැටලු සම්බන්ධයෙන් ගිවිසුම් අත්සන් කිරීමෙන් අනතුරුව පමණක්
තාක්‍ෂණික සහ ප්‍රවර්ධන තොරතුරු සම්බන්ධයෙන් විදෙස් රජයන්/ ශ්‍රී ලංකාවේ
 පිහිටි ඔවුන්ගේ දූත මණ්ඩල සමඟ ලිපි ගනුදෙනු කිරීම සිදු කළ හැකි ය.","(ආ) ආරක්ෂක අමාත්‍යාංශයට, විදේශ කටයුතු අමාත්‍යාංශයේ கலைவ ඇතිව
 ප්‍රධාන/ප්‍රමුඛ ගැටලු සම්බන්ධයෙන්‌ ගිවිසුම්‌ අත්සන්‌ කිරීමෙන්‌ අනතුරුව පමණක්‌
තාක්ෂණික සහ ප්‍රවර්ධන තොරතුරු සම්බන්ධයෙන්‌ විදෙස්‌ රජයන්‌/ ශ්‍රී ලංකාවේ
 පිගිටී ඔවුන්ගේ දූත මණ්ඩල සමහ ලිපි ගනුදෙනු කිරීම සිදු කළ හැකි ය.","(ආ) ආරක්ෂක අමාත්‍යාංශයට, විදේශ කටයුතු අමාත්‍යාංශයේ එකඟතාව ඇතිව
ප්‍රධාන ප්‍රමුඛ ගැටලු සම්බන්ධයෙන් ගිවිසුම් අත්සන් කිරීමෙන් අනතුරුව පමණක්
තාක්ෂණික සහ ප්‍රවර්ධන තොරතුරු සම්බන්ධයෙන් විදෙස් රජයන්/ ශ්‍රී ලංකාවේ
පිහිටි ඔවුන්ගේ දූත මණ්ඩල සමඟ ලිපි ගනුදෙනු කිරීම සිදු කළ හැකි ය.",75.55,96.3
"මෙම තාක්‍ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන් විදේශ කටයුතු අමාත්‍යාංශය
නිරන්තරයෙන් දැනුවත් කළ යුතු ය.","මෙම
තාක්ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන්‌ විදේශ කටයුතු අමාත්‍යාංශය
නිරන්තරයෙන්‌ දැනුවත්‌ කළ ශුතු ය.","මෙම
තාක්ෂණික කරුණු පිළිබඳ සාකච්ඡා සම්බන්ධයෙන් විදේශ කටයුතු අමාත්‍යාංශය
නිරන්තරයෙන් දැනුවත් කළ යුතු ය.",96.12,98.52
"2.1.6 විදේශ කටයුතු අමාත‍්‍යාංශය සමඟ සහයෝගිත්වයෙන් දැනටමත් සමථයකට පත්ව ඇති තාක්‍ෂණික සහයෝගිතාව, ආධාර සහ සහාය සම්බන්ධයෙන් ශ්‍රී ලංකාවේ පිහිටි අදාළ එක්සත් ජාතීන්ගේ නියෝජිතායතනය සමඟ ඍජුව ලිපි ගනුදෙනු කිරීම අමාත‍්‍යාංශ/ දෙපාර්තමේන්තු විසින් අඛණ්ඩව සිදු කරනු ඇත.","2.1.6 විදේශ කටයුතු අමාත්‍යාංශය සම්භ සහයෝගින්වයෙන්‌ දැනටමත්‌ සමථයකට පත්ව ඇති
'තෘක්ෂණික සහයෝගිතාව, ආධාර සහ සහාය සම්බන්ධයෙන්‌ ශ්‍රී ලංකාවේ පිගිටි අදාළ
එක්සත්‌ ජාතීන්ගේ නියෝජිතායනනය සමඟ සෘජුව ලිපි ගනුදෙනු කිරීම අමාත්‍යාංශ/
දෙපාර්තමේන්තු විසින්‌ අඛණ්ඩව සිදු කරනු ඇත.","2.1.6 විදේශ කටයුතු අමාත්‍යාංශය සමඟ සහයෝගිත්වයෙන් දැනටමත් සමථයකට පත්ව ඇති
තාක්ෂණික සහයෝගිතාව, ආධාර සහ සහාය සම්බන්ධයෙන් ශ්‍රී ලංකාවේ පිහිටි අදාළ
එක්සත් ජාතීන්ගේ නියෝජිතායතනය සමඟ ඍජුව ලිපි ගනුදෙනු කිරීම අමාත්‍යාංශ/
දෙපාර්තමේන්තු විසින් අඛණ්ඩව සිදු කරනු ඇත.",82.4,95.87
"කෙසේවුවත්, අංශ අතර හෝ එක්සත්
ජාතීන්ගේ නියෝජිතායතන අතර පවතින අනුමිතීන් අඩංගු නව ප්‍රතිපත්ති අභිලාෂ
පියවරවලට සම්බන්ධ වන්නා වූ කුමන හෝ කරුණක් විදේශ කටයුතු අමාත්‍යාංශය විසින් අනුමත කළ යුතු ය.","කෙසේදුවත්‌, අංශ අතර හෝ එක්සක්‌
ජාතීන්ගේ නියෝජිතායතන අතර පවතින අනුමිතීන්‌ අඩංගු නව ප්‍රතිපත්ති අභිලාස
පියවරවලට සම්බන්ධ චන්නා වූ කුමන හෝ කරුණක්‌ විදේශ කටගුතු අමාත්‍යාංශය විසින්‌
අනුමත කළ යුතු ය.","කෙසේ වුවත්, අංශ අතර හෝ එක්සත්
ජාතීන්ගේ නියෝජිතායතන අතර පවතින අනුමිතීන් අඩංගු නව ප්‍රතිපත්ති අභිලාෂ
පියවර වලට සම්බන්ධ වන්නා වූ කුමන හෝ කරුණක් විදේශ කටයුතු අමාත්‍යාංශය විසින්
අනුමත කළ යුතු ය.",95.51,98.94
"රේඛීය ආයතන විසින් කාන්තාවන්, ළමුන්, ආහාර සුරක්‍ෂිතතාව, දේශගුණික විපර්‍යාස යනාදී විෂයයන් පිළිබඳව, එක්සත් ජාතීන්ගේ සංවිධානය සහ අනෙකුත් අන්තර්-රාජ්‍ය මූලාරම්භයන් සමඟ සම්බන්කධීරණයෙන් සකස් කරන ලද ප්‍රකාශන/වාර්තා සඳහාද මෙම ක්‍රියාපටිපාටිය භාවිත කළ යුතුය.","රේඛිය ආයතන විසින්‌ කාන්තාවන්‌, ළමුන්‌, ආභාර සුරක්ෂිතතාව,
""දේශගුණික විපර්යාස යනාදී විෂයයන්‌ පිළිබඳව, එක්සත්‌ පාතීන්ගේ සංවිධානය සහ
අනෙකුන්‌ අන්තර්‌-රාජ්‍ය මූලාරම්භයන්‌ සමඟ සම්බන්ධීකරණයෙන්‌ සකස්‌ කරන ලද
ප්‍රකාශන/චාර්තා සඳහාද මෙම ක්‍රියාපටිපාටිය භාවිත කළ යුතුය.","රේඛීය ආයතන විසින් කාන්තාවන්, ළමුන් ආහාර සුරක්ෂිතතාව,
දේශගුණික විපර්යාස යනාදී විෂයයන් පිළිබඳව, එක්සත් ජාතීන්ගේ සංවිධානය සහ
අනෙකුත් අන්තර්-රාජ්‍ය මූලාරම්භයන් සමඟ සම්බන්ධීකරණයෙන් සකස් කරන ලද
ප්‍රකාශන
වාර්තා සඳහා ද මෙම ක්‍රියාපටිපාටිය භාවිත කළ යුතුය.",83.96,97.17
විශේෂයෙන්ම එවැනි,විශේෂයෙන්ම එවැනි,විශේෂයෙන්ම එවැනි,100.0,100.0
original,ocr,visionOcr,Tessaract%,Vision%
"ප්‍රකාශන/වාර්තා සකස්‌ කිරීමේ උපදේශන ක්‍රියාවලියට විදේශ කටයුතු අමාත්‍යාංශය
ඇතුළත්‌ විය යුතුය.","ප්‍රකාශන/වාර්තා සකස්‌ කිරීමේ උපදේශන ක්‍රියාවලියට විදේශ කටයුතු අමාත්‍යාංශය
ඇතුළත්‌ විය යුතුය.","ප්‍රකාශන/වාර්තා සකස් කිරීමේ උපදේශන ක්‍රියාවලියට විදේශ කටයුතු අමාත්‍යාංශය
ඇතුළත් විය යුතුය.",100.0,98.9
"2.1.7 සාකච්ඡා හෝ ප්‍රතිපත්තිමය ගැටලුවලට අදාළ නොවන ආකාරික හෝ තාක්ෂණික කරුණු
සම්බන්ධයෙන්‌ වන නිල නොවන ලිපි ගනුදෙනු හෝ සාකච්ඡා වෙනත්‌ අමාත්‍යාංශ විසින්‌
ශ්‍රී ලංකාවේ පිහිටි විදේශ දූත මණ්ඩලයන්හි නියෝජිතයන්‌ සහ එතෙර පිහිටි ශ්‍රී ලංකා දුත
මණ්ඩල සමහ සෘජුව සිදු කළ යුතු ය.","2.1.7 සාකච්ඡා හෝ ප්‍රතිපත්තිමය ගැටලුවලට අදාළ නොවන ආකාරික හෝ තාක්ෂණික කරුණු
සම්බන්ධයෙන්‌ වන නිල නොවන ලිපි ගනුදෙනු හෝ සංකච්ඡා වෙනත්‌ අමාත්‍යාංශ විසින්‌
ශ්‍රී ලංකාවේ 868 විදේශ දුත මණ්ඩලයන්ගි නියෝජිතයන්‌ සහ එතෙර පිහිටි ශ්‍රී ලංකා දුත
මණ්ඩල සමහ සෘජුව සිදු කළ යුතු ය.","2.1.7 සාකච්ඡා හෝ ප්‍රතිපත්තිමය ගැටලුවලට අදාළ නොවන ආකාරික හෝ තාක්ෂණික කරුණු
සම්බන්ධයෙන් වන නිල නොවන ලිපි ගනුදෙනු හෝ සාකච්ඡා වෙනත් අමාත්‍යාංශ විසින්
ශ්‍රී ලංකාවේ පිහිටි විදේශ දූත මණ්ඩලයන්හි නියෝජිතයන් සහ එතෙර පිහිටි ශ්‍රී ලංකා දූත
මණ්ඩල සමඟ ඍජුව සිදු කළ යුතු ය.",97.14,97.51
"එලෙස සිදු කරනු ලබන නිල නොවන
සන්නිවේදනයන්හි පිටපක්‌ විදේශ කටයුතු අමාත්‍යාංශයට යොමු කළ යුතු ද යන්න
අමාත්‍යාංශ විසින්‌ තීරණය කළ යුතු වේ.","එලෙස සිදු කරනු ලබන නිල නොවන
සන්නිවේදනයන්ගි පිටපක්‌ විදේශ කටයුතු අමාත්‍යාංශයට යොමු කළ යුතු ද යන්න
අමාත්‍යාංශ විසින්‌ තීරණය කළ යුතු වේ.","එලෙස සිදු කරනු ලබන නිල නොවන
සන්නිවේදනයන්හි පිටපත් විදේශ කටයුතු අමාත්‍යාංශයට යොමු කළ යුතු ද යන්න
අමාත්‍යාංශ විසින් තීරණය කළ යුතු වේ.",99.25,98.48
"2.1.8 ශ්‍රී ලංකාවේ පිහිටි විදේශ දූත මණ්ඩල වෙනත්‌ අමාත්‍යාංශ/ දෙපාර්තම්න්තුවල
නිලධාරියෙකු හා සම්බන්ධ වන්නේ නම්‌ හා සම්බන්ධ වන අවස්ථාවේ දී, එය ආකාරික
කරුණක්‌ වශයෙන්‌ ආරම්භයේ දී දැකිය හැකි වුවද, පසුව වඩාත්‌ වැදගත්‌ කරුණක්‌ දක්වා
වර්ධනය විය හැකි නම්‌, එම කරුණ පිළිබඳ විදේශ කටයුතු අමාත්යාංශය හැකි ඉක්මනින්‌
දැනුවත්‌ කළ යුතු ය.","218 ශ්‍රී ලංකාවේ 898 විදේශ දූත මණ්ඩල වෙනත්‌ අමාත්‍යාංශු/ දෙපාර්තම්න්තුවල
නිලධාරියෙකු හා සම්බන්ධ වන්නේ නම්‌ හා සම්බන්ධ වන අවස්ථාවේ දී, එය ආකාරික
කරුණක්‌ වශයෙන්‌ ආරම්භයේ දී දැකිය හැකි චුවද, පසුව වඩාත්‌ වැදගක්‌ කරුණක්‌ දක්වා
වර්ධනය චිය හැකි නම්‌, එම කරුණ පිළිබඳ විදේශ කටයුතු අමාතයාංශය හැකි ඉක්මනින්‌
දැනුවත්‌ කළ යුතු ය.","2.1.8 ශ්‍රී ලංකාවේ පිහිටි විදේශ දූත මණ්ඩල වෙනත් අමාත්‍යාංශ/ දෙපාර්තම්න්තුවල
නිලධාරියෙකු හා සම්බන්ධ වන්නේ නම් හා සම්බන්ධ වන අවස්ථාවේ දී, එය ආකාරික
කරුණක් වශයෙන් ආරම්භයේ දී දැකිය හැකි වුවද, පසුව වඩාත් වැදගත් කරුණක් දක්වා
වර්ධනය විය හැකි නම්, එම කරුණ පිළිබඳ විදේශ කටයුතු අමාත්යාංශය හැකි ඉක්මනින්
දැනුවත් කළ යුතු ය.",97.02,98.42
"2.1.9 යම්‌ විෂයයක්‌ සම්බන්ධයෙන්‌ විදේශ කටයුතු අමාත්‍යාංශය හරහා මූලික විධිවිධාන සලසා
දීමෙන්‌ අනතුරුව, එම විෂය සම්බන්ධයෙන්‌ විවිධ අමාත්‍යාංශ/ නියෝජිතායතනවල
තාක්ෂණික නිලධාරීන්‌ සහ ශ්‍රී ලංකාවේ විදේශ රාජ්‍යතාන්ත්‍රික දුත මණ්ඩල හෝ
ජාත්‍යන්තර/රාජ්‍ය නොවන සංවිධානවල නියෝජිතයන්‌ අතර තාක්ෂණික කරුණු
සම්බන්ධයෙන්‌ සිදු කරන සෘජු ලිපි ගනුදෙනු සඳහා අවසර ඇත.","2.1.9 යම්‌ විෂයයක්‌ සම්බන්ධයෙන්‌ විදේශ කටයුතු අමාත්‍යාංශය හරහා මූලික විධිවිධාන සලසා
දීමෙන්‌ අනතුරුව, එම විෂය සම්බන්ධයෙන්‌ 880 අමාත්‍යාංශ/ නියෝජිතායතනවල
තාක්ෂණික නිලධාරීන්‌ සහ ශ්‍රී ලංකාවේ විදේශ රාජ්‍යතාන්ත්‍රික දූත මණ්ඩල හෝ
ජාත්‍යන්තර/රාජ්‍ය නොවන සංවිධානවල නියෝජිතයන්‌ අතර තෘක්ෂණික කරුණු
සම්බන්ධයෙන්‌ සිදු කරන සෘජු ලිපි ගනුදෙනු සඳහා අවසර ඇත.","2.1.9 යම් විෂයයක් සම්බන්ධයෙන් විදේශ කටයුතු අමාත්‍යාංශය හරහා මූලික විධිවිධාන සලසා
දීමෙන් අනතුරුව, එම විෂය සම්බන්ධයෙන් විවිධ අමාත්‍යාංශ/ නියෝජිතායතනවල
තාක්ෂණික නිලධාරීන් සහ ශ්‍රී ලංකාවේ විදේශ රාජ්‍යතාන්ත්‍රික දූත මණ්ඩල හෝ
ජාත්‍යන්තර/රාජ්‍ය නොවන සංවිධානවල නියෝජිතයන් අතර තාක්ෂණික කරුණු
සම්බන්ධයෙන් සිදු කරන ඍජු ලිපි ගනුදෙනු සඳහා අවසර ඇත.",98.25,95.13
"කෙසේ වෙතත්‌, එවැනි
සියලු සන්නිවේදනයන්‌ පිළිබඳව විදේශ කටයුතු අමාත්‍යාංශය දැනුවත්‌ කළ යුතුය.","කෙසේ වෙතත්‌, එවැනි
සියලු සන්නිවේදනයන්‌ පිළිබඳව විදේශ කටයුතු අමාත්‍යාංශය දැනුවත්‌ කළ යුතුය.","කෙසේ වෙතත්, එවැනි
සියලු සන්නිවේදනයන් පිළිබඳව විදේශ කටයුතු අමාත්‍යාංශය දැනුවත් කළ යුතුය.",100.0,98.31
"2.1.10 කොළඹ පිහිටි දුත මණ්ඩලයක්‌ විසින්‌ නිශ්චිත හදිසි අවස්ථාවන්හි දී සහ විශේෂ
අවශ්‍යතාවයන්‌ ඇති වී තිබෙන විට රේඛීය අමාත්‍යාංශයක්‌/ දෙපාර්තමේන්තුවක්‌/ රජයේ
නියෝජිතායතනයක්‌, සම්බන්ධ කර ගැනීම සඳහා අදාළ අමාත්‍යාංශයට පිටපතක්‌ ද සහිතව
විදේශ කටයුතු අමාත්‍යාංශය හරහා ඉල්ලීම යොමු කළ යුතු බවට විදේශ දුත මණ්ඩලවලට
උපදෙස්‌ ලබා දී ඇත.","2.1.10 කොළඹ 868 දුත මණ්ඩලයක්‌ විසින්‌ නිශ්චිත හදිසි අවස්ථාවන්හි දී සහ විශේෂ
අවශ්‍යතාවයන්‌ ඇති චී තිබෙන විට රේඛ්ය අමාත්‍යාංශයක්‌/ දෙපාර්තමේන්තුවක්‌/ රජයේ
නියෝජිතායතනයක්‌, සම්බන්ධ කර ගැනීම සඳහා අදාළ අමාත්‍යාංශයට පිටපතක්‌ ද සහිතව
විදේශ කටයුතු අමාත්‍යාංශය හරහා ඉල්ලීම යොමු කළ යුතු බවට විදේශ දුත මණ්ඩලවලට
උපදෙස්‌ ලබා දී ඇත.","2.1.10 කොළඹ පිහිටි දූත මණ්ඩලයක් විසින් නිශ්චිත හදිසි අවස්ථාවන්හි දී සහ විශේෂ
අවශ්‍යතාවයන් ඇති වී තිබෙන විට රේඛීය අමාත්‍යාංශයක්/ දෙපාර්තමේන්තුවක්/ රජයේ
නියෝජිතායතනයක්, සම්බන්ධ කර ගැනීම සඳහා අදාළ අමාත්‍යාංශයට පිටපතක් ද සහිතව
විදේශ කටයුතු අමාත්‍යාංශය හරහා ඉල්ලීම යොමු කළ යුතු බවට විදේශ දූත මණ්ඩලවලට
උපදෙස් ලබා දී ඇත.",97.97,95.9
"ශ්‍රී ලංකා රජයේ අදාළ ආයතනය, දුත මණ්ඩලයක්‌ විසින්‌ යොමු
කරනු ලබන එවැනි ඉල්ලීමක්‌ සම්බන්ධයෙන්‌ ක්‍රියා කිරීමේ දී, එකී ක්‍රියාවලිය අනුගමනය
කර ඇති ද යන්න තහවුරු කරගත යුතු ය.","ශ්‍රී ලංකා රජයේ අදාළ ආයතනය, දුත මණ්ඩලයක්‌ විසින්‌ යොමු
කරනු ලබන එවැනි ඉල්ලීමක්‌ සම්බන්ධයෙන්‌ ක්‍රියා කිරීමේ දී, එකී ක්‍රියාවලිය අනුගමනය
6 ඇති ද යන්න තහවුරු කරගත යුතු ය.","ශ්‍රී ලංකා රජයේ අදාළ ආයතනය, දූත මණ්ඩලයක් විසින් යොමු
කරනු ලබන එවැනි ඉල්ලීමක් සම්බන්ධයෙන් ක්‍රියා කිරීමේ දී, එකී ක්‍රියාවලිය අනුගමනය
කර ඇති ද යන්න තහවුරු කරගත යුතු ය.",99.11,98.2
"ඉහත සඳහන්‌ ක්‍රමවේදයට අනුගත වීම වැදගත් වන්නේ, පෙර බොහෝ අවස්ථාවන්හි දී ඇති වූ
අවුල්සහගත තත්ත්වවලදී, මුඛ්‍ය ගැටලු සමථයකට පත්‌ කිරීම සඳහා අදාළ ජාතික
නියෝජිතායතනය සහ විදෙස්‌ රජය අතර අතරමැදියා වශයෙන්‌ ශ්‍රී ලංකා රජය වෙනුවෙන්‌ විදේශ
කටයුතු අමාත්‍යාංශය විසින්‌ සහාය වීම අවශ්‍ය වූ බැවිනි.","2.2 ඉහත සඳහන්‌ ක්‍රමවේදයට අනුගත වීම වැදගත්‌ වන්නේ, පෙර බොහෝ අවස්ථාවන්හි දී ඇති වූ
අවුල්සහගත තත්ත්වවලදී, මුඛ්‍ය ගැටලු සමථයකට පත්‌ කිරීම සඳහා අදාළ ජාතික
නියෝජිතෘයතනය සභ විදෙස්‌ රජය අතර අතරමැදියා වශයෙන්‌ ශ්‍රී ලංකා රජය වෙනුවෙන්‌ විදේශ
කටයුතු අමාත්‍යාංශය විසින්‌ සහාය වීම අවශ්‍ය වූ බැවිනි.","ඉහත සඳහන් ක්‍රම වේදයට අනුගත වීම වැදගත් වන්නේ, පෙර බොහෝ අවස්ථාවන්හි දී ඇති වූ
අවුල්
සහගත තත්ත්ව වලදී, මුඛ්‍ය ගැටලු සමථයකට පත් කිරීම සඳහා අදාළ ජාතික
නියෝජිතායතනය සහ විදෙස් රජය අතර අතරමැදියා වශයෙන් ශ්‍රී ලංකා රජය වෙනුවෙන් විදේශ
කටයුතු අමාත්‍යාංශය විසින් සහාය වීම අවශ්‍ය වූ බැවිනි.",96.28,83.3
"එවැනි ගැටලු, නොවිසඳනු ලැබුවහොත්‌
හෝ ක්‍රමයෙන්‌ වැඩි වීමට ඉඩ සැලසුවහොත්‌, ශ්‍රී ලංකාව සහ අදාළ විදෙස්‌ රාජ්‍ය හෝ සංවිධානය
අතර පවතින සමස්ථ ද්විපාර්ශ්වීය සබඳතාව කෙරෙහි අහිතකර ලෙස බලපෑම්‌ සිදු කරනු ලබන
හේතූන්‌ හෝ අන්තර්‌ රාජ්‍ය මතභේද බවට පත්විය හැකි ය.","එවැනි ගැටලු, නොවිසඳනු ලැබුවහොත්‌
හෝ ක්‍රමයෙන්‌ වැඩි වීමට ඉඩ සැලසුවහොත්‌, ශ්‍රී ලංකාව සහ අදාළ විදෙස්‌ රාජ්‍ය හෝ සංවිධානය
අතර පචතින සම්ස්ථ ද්විපාර්ශ්වීය සබඳතාව කෙරෙහි අගිතකර ලෙස බලපෑම්‌ සිදු කරනු ලබන
හේතූන්‌ හෝ අන්තර්‌ රාජ්‍ය මතභේද බවට පත්විය හැකි ය.","එවැනි ගැටලු, නොවිසඳනු ලැබුවහොත්
හෝ ක්‍රමයෙන් වැඩි වීමට ඉඩ සැලසුවහොත්, ශ්‍රී ලංකාව සහ අදාළ විදෙස් රාජ්‍ය හෝ සංවිධානය
අතර පවතින සමස්ථ ද්විපාර්ශ්වීය සබඳතාව කෙරෙහි අහිතකර ලෙස බලපෑම් සිදු කරනු ලබන
හේතූන් හෝ අන්තර් රාජ්‍ය මතභේද බවට පත්විය හැකි ය.",96.57,98.56
